city,state,zip_code,price,bed,bath,house_size,street,monthly_rent,monthly_cashflow,roi_pct,annual_tax,total_invested,investment_score,grade,appreciation_score,voucher_demand_score
Memphis,Tennessee,38018.0,340000.0,4,3.0,,1099909.0,1549.0,496.88,7.62,6596.0,78200.0,3.77,F,6.5,8.5
Memphis,Tennessee,38018.0,255900.0,3,2.0,,1814044.0,1549.0,737.97,15.05,4964.46,58857.0,4.02,F,6.5,8.5
Memphis,Tennessee,38018.0,295000.0,4,3.0,,1684536.0,1549.0,625.88,11.07,5723.0,67850.0,3.9,F,6.5,8.5
Memphis,Tennessee,38018.0,280000.0,4,2.0,,1729773.0,1549.0,668.88,12.46,5432.0,64400.0,3.94,F,6.5,8.5
Memphis,Tennessee,38018.0,339900.0,4,3.0,,1420347.0,1549.0,497.17,7.63,6594.06,78177.0,3.77,F,6.5,8.5
Memphis,Tennessee,38018.0,330000.0,4,3.0,,1005703.0,1549.0,525.55,8.31,6402.0,75900.0,3.8,F,6.5,8.5
Memphis,Tennessee,38018.0,325000.0,4,3.0,,1720750.0,1549.0,539.88,8.67,6305.0,74750.0,3.81,F,6.5,8.5
Memphis,Tennessee,38018.0,379900.0,4,2.0,,1835440.0,1549.0,382.5,5.25,7370.06,87377.0,3.66,F,6.5,8.5
Memphis,Tennessee,38018.0,524000.0,4,4.0,,1818348.0,1549.0,-30.58,-0.3,10165.6,120520.0,3.3,F,6.5,8.5
Memphis,Tennessee,38120.0,175000.0,3,1.0,,1381207.0,1549.0,969.88,28.92,3395.0,40250.0,4.34,F,6.5,8.5
Memphis,Tennessee,38112.0,60000.0,2,1.0,,1636101.0,1175.0,944.25,82.11,1164.0,13800.0,4.91,F,6.5,8.5
Memphis,Tennessee,38133.0,230000.0,3,2.0,,873015.0,1549.0,812.22,18.42,4462.0,52900.0,4.11,F,6.5,8.5
Memphis,Tennessee,38112.0,105000.0,4,2.0,,971030.0,1549.0,1170.55,58.16,2037.0,24150.0,4.81,F,6.5,8.5
Memphis,Tennessee,38122.0,175000.0,3,2.0,,1022280.0,1549.0,969.88,28.92,3395.0,40250.0,4.34,F,6.5,8.5
Memphis,Tennessee,38128.0,89900.0,3,1.0,,1100421.0,1549.0,1213.84,70.45,1744.06,20677.0,4.98,F,6.5,8.5
Memphis,Tennessee,38128.0,160000.0,3,2.0,,1223299.0,1549.0,1012.88,33.03,3104.0,36800.0,4.42,F,6.5,8.5
Memphis,Tennessee,38122.0,60000.0,2,1.0,,1028132.0,1175.0,944.25,82.11,1164.0,13800.0,4.91,F,6.5,8.5
Memphis,Tennessee,38134.0,209900.0,4,2.0,,816155.0,1549.0,869.84,21.62,4072.06,48277.0,4.19,F,6.5,8.5
Memphis,Tennessee,38111.0,150000.0,3,3.0,,982384.0,1549.0,1041.55,36.23,2910.0,34500.0,4.48,F,6.5,8.5
Memphis,Tennessee,38128.0,110000.0,3,2.0,,882957.0,1549.0,1156.22,54.84,2134.0,25300.0,4.76,F,6.5,8.5
Memphis,Tennessee,38134.0,205500.0,3,2.0,,1381505.0,1549.0,882.45,22.4,3986.7,47265.0,4.21,F,6.5,8.5
Memphis,Tennessee,38134.0,175000.0,3,2.0,,298361.0,1549.0,969.88,28.92,3395.0,40250.0,4.34,F,6.5,8.5
Memphis,Tennessee,38111.0,155000.0,2,1.0,,1099030.0,1175.0,671.92,22.62,3007.0,35650.0,4.06,F,6.5,8.5
Memphis,Tennessee,38122.0,172000.0,2,1.0,,1080872.0,1175.0,623.18,18.9,3336.8,39560.0,3.98,F,6.5,8.5
Memphis,Tennessee,38134.0,294000.0,4,3.0,,627752.0,1549.0,628.75,11.16,5703.6,67620.0,3.9,F,6.5,8.5
Memphis,Tennessee,38122.0,129900.0,3,1.0,,83327.0,1549.0,1099.17,44.15,2520.06,29877.0,4.6,F,6.5,8.5
Memphis,Tennessee,38122.0,489500.0,3,3.0,,1090233.0,1549.0,68.32,0.73,9496.3,112585.0,3.38,F,6.5,8.5
Memphis,Tennessee,38122.0,349900.0,3,2.0,,1109963.0,1549.0,468.5,6.99,6788.06,80477.0,3.74,F,6.5,8.5
Memphis,Tennessee,38111.0,214900.0,2,1.0,,1006506.0,1175.0,500.2,12.14,4169.06,49427.0,3.82,F,6.5,8.5
Memphis,Tennessee,38120.0,600000.0,3,3.0,,1509891.0,1549.0,-248.45,-2.16,11640.0,138000.0,3.12,F,6.5,8.5
Memphis,Tennessee,38117.0,685000.0,4,6.0,,1211929.0,1549.0,-492.12,-3.75,13289.0,157550.0,2.93,F,6.5,8.5
Memphis,Tennessee,38018.0,299900.0,4,3.0,,1732318.0,1549.0,611.84,10.64,5818.06,68977.0,3.88,F,6.5,8.5
Memphis,Tennessee,38018.0,229900.0,3,3.0,,1695714.0,1549.0,812.5,18.44,4460.06,52877.0,4.11,F,6.5,8.5
Memphis,Tennessee,38018.0,289000.0,3,2.0,,1617386.0,1549.0,643.08,11.61,5606.6,66470.0,3.92,F,6.5,8.5
Memphis,Tennessee,38018.0,260000.0,4,2.0,,1749678.0,1549.0,726.22,14.57,5044.0,59800.0,4.01,F,6.5,8.5
Memphis,Tennessee,38018.0,270000.0,3,2.0,,1587378.0,1549.0,697.55,13.48,5238.0,62100.0,3.98,F,6.5,8.5
Memphis,Tennessee,38018.0,439900.0,3,2.0,,1731505.0,1549.0,210.5,2.5,8534.06,101177.0,3.5,F,6.5,8.5
Memphis,Tennessee,38018.0,465000.0,4,3.0,,1516132.0,1549.0,138.55,1.55,9021.0,106950.0,3.44,F,6.5,8.5
Memphis,Tennessee,38018.0,359900.0,3,3.0,,995139.0,1549.0,439.84,6.38,6982.06,82777.0,3.71,F,6.5,8.5
Memphis,Tennessee,38122.0,49900.0,3,1.0,,1300858.0,1549.0,1328.5,138.9,968.06,11477.0,5.82,D,6.5,8.5
Memphis,Tennessee,38111.0,42000.0,3,2.0,,258445.0,1549.0,1351.15,167.84,814.8,9660.0,6.15,C,6.5,8.5
Memphis,Tennessee,38128.0,51500.0,3,2.0,,1007898.0,1549.0,1323.92,134.12,999.1,11845.0,5.76,D,6.5,8.5
Memphis,Tennessee,38111.0,48780.0,3,2.0,,1835136.0,1549.0,1331.71,142.44,946.33,11219.4,5.86,D,6.5,8.5
Memphis,Tennessee,38111.0,50000.0,3,1.0,,1060852.0,1549.0,1328.22,138.6,970.0,11500.0,5.81,D,6.5,8.5
Memphis,Tennessee,38122.0,44430.0,2,1.0,,81249.0,1175.0,988.88,116.12,861.94,10218.9,5.32,D,6.5,8.5
Memphis,Tennessee,38016.0,345000.0,4,4.0,,1750222.0,1549.0,482.55,7.3,6693.0,79350.0,3.75,F,6.5,8.5
Memphis,Tennessee,38016.0,299000.0,3,3.0,,1750375.0,1549.0,614.42,10.72,5800.6,68770.0,3.89,F,6.5,8.5
Memphis,Tennessee,38016.0,242000.0,3,2.0,,1836012.0,1549.0,777.82,16.77,4694.8,55660.0,4.07,F,6.5,8.5
Memphis,Tennessee,38016.0,275000.0,3,2.0,,1773531.0,1549.0,683.22,12.96,5335.0,63250.0,3.96,F,6.5,8.5
Memphis,Tennessee,38016.0,330000.0,4,3.0,,723246.0,1549.0,525.55,8.31,6402.0,75900.0,3.8,F,6.5,8.5
Memphis,Tennessee,38016.0,260000.0,4,3.0,,815898.0,1549.0,726.22,14.57,5044.0,59800.0,4.01,F,6.5,8.5
Memphis,Tennessee,38016.0,220000.0,3,2.0,,50089.0,1549.0,840.88,19.94,4268.0,50600.0,4.15,F,6.5,8.5
Memphis,Tennessee,38122.0,32580.0,3,1.0,,1026554.0,1549.0,1378.15,220.7,632.05,7493.4,6.76,C,6.5,8.5
Memphis,Tennessee,38135.0,144500.0,3,2.0,,1084946.0,1549.0,1057.32,38.18,2803.3,33235.0,4.51,F,6.5,8.5
Memphis,Tennessee,38108.0,74000.0,3,2.0,,1155936.0,1549.0,1259.42,88.8,1435.6,17020.0,5.21,D,6.5,8.5
Memphis,Tennessee,38111.0,54360.0,3,1.0,,960191.0,1549.0,1315.72,126.28,1054.58,12502.8,5.67,D,6.5,8.5
Memphis,Tennessee,38128.0,109900.0,4,2.0,,1083531.0,1549.0,1156.5,54.9,2132.06,25277.0,4.77,F,6.5,8.5
Memphis,Tennessee,38122.0,48000.0,2,1.0,,319051.0,1175.0,978.65,106.38,931.2,11040.0,5.21,D,6.5,8.5
Memphis,Tennessee,38128.0,74900.0,3,2.0,,1132884.0,1549.0,1256.84,87.55,1453.06,17227.0,5.2,D,6.5,8.5
Memphis,Tennessee,38114.0,98900.0,3,2.0,,925410.0,1549.0,1188.04,62.67,1918.66,22747.0,4.87,F,6.5,8.5
Memphis,Tennessee,38122.0,122500.0,3,1.0,,262542.0,1549.0,1120.38,47.72,2376.5,28175.0,4.66,F,6.5,8.5
Memphis,Tennessee,38016.0,380000.0,4,4.0,,247311.0,1549.0,382.22,5.25,7372.0,87400.0,3.66,F,6.5,8.5
Memphis,Tennessee,38112.0,39900.0,4,1.0,,1001135.0,1549.0,1357.17,177.47,774.06,9177.0,6.26,C,6.5,8.5
Memphis,Tennessee,38016.0,265000.0,4,3.0,,693450.0,1549.0,711.88,14.02,5141.0,60950.0,3.99,F,6.5,8.5
Memphis,Tennessee,38111.0,54900.0,4,2.0,,1643943.0,1549.0,1314.17,124.89,1065.06,12627.0,5.65,D,6.5,8.5
Memphis,Tennessee,38128.0,95000.0,3,2.0,,1079952.0,1549.0,1199.22,65.86,1843.0,21850.0,4.92,F,6.5,8.5
Memphis,Tennessee,38112.0,65000.0,3,2.0,,1543018.0,1549.0,1285.22,103.16,1261.0,14950.0,5.39,D,6.5,8.5
Memphis,Tennessee,38111.0,290000.0,4,2.0,,1196813.0,1549.0,640.22,11.52,5626.0,66700.0,3.91,F,6.5,8.5
Memphis,Tennessee,38112.0,39850.0,2,1.0,,971442.0,1175.0,1002.01,131.19,773.09,9165.5,5.5,D,6.5,8.5
Memphis,Tennessee,38122.0,69900.0,3,1.0,,1015162.0,1549.0,1271.17,94.88,1356.06,16077.0,5.29,D,6.5,8.5
Memphis,Tennessee,38112.0,64900.0,3,1.0,,1552485.0,1549.0,1285.5,103.34,1259.06,14927.0,5.39,D,6.5,8.5
Memphis,Tennessee,38112.0,74900.0,3,2.0,,1550746.0,1549.0,1256.84,87.55,1453.06,17227.0,5.2,D,6.5,8.5
Memphis,Tennessee,38128.0,108000.0,3,2.0,,1219510.0,1549.0,1161.95,56.13,2095.2,24840.0,4.78,F,6.5,8.5
Memphis,Tennessee,38128.0,108000.0,3,2.0,,1045239.0,1549.0,1161.95,56.13,2095.2,24840.0,4.78,F,6.5,8.5
Memphis,Tennessee,38111.0,74900.0,3,1.0,,373865.0,1549.0,1256.84,87.55,1453.06,17227.0,5.2,D,6.5,8.5
Memphis,Tennessee,38117.0,130000.0,3,2.0,,1288075.0,1549.0,1098.88,44.1,2522.0,29900.0,4.6,F,6.5,8.5
Memphis,Tennessee,38122.0,64900.0,3,1.0,,311522.0,1549.0,1285.5,103.34,1259.06,14927.0,5.39,D,6.5,8.5
Memphis,Tennessee,38122.0,75000.0,2,1.0,,1092136.0,1175.0,901.25,62.7,1455.0,17250.0,4.67,F,6.5,8.5
Memphis,Tennessee,38111.0,80000.0,2,1.0,,949123.0,1175.0,886.92,57.84,1552.0,18400.0,4.6,F,6.5,8.5
Memphis,Tennessee,38117.0,210000.0,3,1.0,,1305429.0,1549.0,869.55,21.6,4074.0,48300.0,4.19,F,6.5,8.5
Memphis,Tennessee,38128.0,125000.0,3,2.0,,1123749.0,1549.0,1113.22,46.46,2425.0,28750.0,4.64,F,6.5,8.5
Memphis,Tennessee,38108.0,75000.0,2,1.0,,1173492.0,1175.0,901.25,62.7,1455.0,17250.0,4.67,F,6.5,8.5
Memphis,Tennessee,38134.0,234900.0,4,2.0,,1006747.0,1549.0,798.17,17.73,4557.06,54027.0,4.1,F,6.5,8.5
Memphis,Tennessee,38111.0,131900.0,3,1.0,,38711.0,1549.0,1093.44,43.25,2558.86,30337.0,4.59,F,6.5,8.5
Memphis,Tennessee,38117.0,324900.0,3,2.0,,1330364.0,1549.0,540.17,8.67,6303.06,74727.0,3.81,F,6.5,8.5
Memphis,Tennessee,38128.0,162500.0,4,2.0,,1067627.0,1549.0,1005.72,32.29,3152.5,37375.0,4.41,F,6.5,8.5
Memphis,Tennessee,38112.0,55000.0,3,2.0,,1585576.0,1549.0,1313.88,124.64,1067.0,12650.0,5.65,D,6.5,8.5
Memphis,Tennessee,38122.0,73000.0,2,1.0,,1082502.0,1175.0,906.98,64.82,1416.2,16790.0,4.69,F,6.5,8.5
Memphis,Tennessee,38108.0,75000.0,2,1.0,,1077490.0,1175.0,901.25,62.7,1455.0,17250.0,4.67,F,6.5,8.5
Memphis,Tennessee,38112.0,87809.0,3,1.0,,1650472.0,1549.0,1219.83,72.48,1703.49,20196.07,5.0,D,6.5,8.5
Memphis,Tennessee,38108.0,62000.0,2,1.0,,1135366.0,1175.0,938.52,78.98,1202.8,14260.0,4.87,F,6.5,8.5
Memphis,Tennessee,38108.0,67000.0,2,1.0,,480506.0,1175.0,924.18,71.97,1299.8,15410.0,4.79,F,6.5,8.5
Memphis,Tennessee,38128.0,80000.0,4,2.0,,1074465.0,1549.0,1242.22,81.01,1552.0,18400.0,5.12,D,6.5,8.5
Memphis,Tennessee,38122.0,79900.0,4,2.0,,1019946.0,1549.0,1242.5,81.13,1550.06,18377.0,5.12,D,6.5,8.5
Memphis,Tennessee,38128.0,76000.0,4,2.0,,1091009.0,1549.0,1253.68,86.07,1474.4,17480.0,5.18,D,6.5,8.5
Memphis,Tennessee,38122.0,105000.0,2,1.0,,1644663.0,1175.0,815.25,40.51,2037.0,24150.0,4.36,F,6.5,8.5
Memphis,Tennessee,38122.0,129500.0,2,1.0,,1150715.0,1175.0,745.02,30.02,2512.3,29785.0,4.19,F,6.5,8.5
Memphis,Tennessee,38122.0,105900.0,3,1.0,,1065890.0,1549.0,1167.97,57.54,2054.46,24357.0,4.8,F,6.5,8.5
Memphis,Tennessee,38117.0,312000.0,4,2.0,,1243504.0,1549.0,577.15,9.65,6052.8,71760.0,3.85,F,6.5,8.5
Memphis,Tennessee,38128.0,148500.0,3,2.0,,1222601.0,1549.0,1045.85,36.74,2880.9,34155.0,4.48,F,6.5,8.5
Memphis,Tennessee,38111.0,429900.0,3,3.0,,1300088.0,1549.0,239.17,2.9,8340.06,98877.0,3.53,F,6.5,8.5
Memphis,Tennessee,38122.0,129900.0,4,2.0,,1048186.0,1549.0,1099.17,44.15,2520.06,29877.0,4.6,F,6.5,8.5
Memphis,Tennessee,38016.0,265000.0,3,2.0,,342986.0,1549.0,711.88,14.02,5141.0,60950.0,3.99,F,6.5,8.5
Memphis,Tennessee,38128.0,134400.0,3,1.0,,1107607.0,1549.0,1086.27,42.17,2607.36,30912.0,4.57,F,6.5,8.5
Memphis,Tennessee,38111.0,211000.0,3,2.0,,1091617.0,1549.0,866.68,21.43,4093.4,48530.0,4.19,F,6.5,8.5
Memphis,Tennessee,38111.0,59000.0,2,1.0,,44528.0,1175.0,947.12,83.75,1144.6,13570.0,4.93,F,6.5,8.5
Memphis,Tennessee,38122.0,67000.0,2,2.0,,1027980.0,1175.0,924.18,71.97,1299.8,15410.0,4.79,F,6.5,8.5
Memphis,Tennessee,38122.0,65000.0,3,2.0,,1050520.0,1549.0,1285.22,103.16,1261.0,14950.0,5.39,D,6.5,8.5
Memphis,Tennessee,38111.0,65000.0,3,1.0,,903733.0,1549.0,1285.22,103.16,1261.0,14950.0,5.39,D,6.5,8.5
Memphis,Tennessee,38111.0,63000.0,3,1.0,,1694624.0,1549.0,1290.95,106.91,1222.2,14490.0,5.44,D,6.5,8.5
Memphis,Tennessee,38128.0,114900.0,4,1.0,,1279537.0,1549.0,1142.17,51.86,2229.06,26427.0,4.72,F,6.5,8.5
Memphis,Tennessee,38122.0,70000.0,3,1.0,,1824103.0,1549.0,1270.88,94.72,1358.0,16100.0,5.29,D,6.5,8.5
Memphis,Tennessee,38128.0,50000.0,3,3.0,,980671.0,1549.0,1328.22,138.6,970.0,11500.0,5.81,D,6.5,8.5
Memphis,Tennessee,38128.0,124000.0,3,1.0,,1006144.0,1549.0,1116.08,46.96,2405.6,28520.0,4.65,F,6.5,8.5
Memphis,Tennessee,38114.0,63000.0,3,1.0,,911570.0,1549.0,1290.95,106.91,1222.2,14490.0,5.44,D,6.5,8.5
Memphis,Tennessee,38108.0,69000.0,3,1.0,,465590.0,1549.0,1273.75,96.31,1338.6,15870.0,5.31,D,6.5,8.5
Memphis,Tennessee,38111.0,99000.0,4,2.0,,990359.0,1549.0,1187.75,62.6,1920.6,22770.0,4.87,F,6.5,8.5
Memphis,Tennessee,38120.0,220000.0,3,2.0,,894889.0,1549.0,840.88,19.94,4268.0,50600.0,4.15,F,6.5,8.5
Memphis,Tennessee,38122.0,125000.0,3,2.0,,1614751.0,1549.0,1113.22,46.46,2425.0,28750.0,4.64,F,6.5,8.5
Memphis,Tennessee,38016.0,250000.0,2,2.0,,550502.0,1175.0,399.58,8.34,4850.0,57500.0,3.71,F,6.5,8.5
Memphis,Tennessee,38122.0,126000.0,2,1.0,,1049699.0,1175.0,755.05,31.27,2444.4,28980.0,4.21,F,6.5,8.5
Memphis,Tennessee,38117.0,275000.0,3,2.0,,1375254.0,1549.0,683.22,12.96,5335.0,63250.0,3.96,F,6.5,8.5
Memphis,Tennessee,38128.0,275000.0,4,2.0,,981096.0,1549.0,683.22,12.96,5335.0,63250.0,3.96,F,6.5,8.5
Memphis,Tennessee,38122.0,149900.0,2,1.0,,187566.0,1175.0,686.54,23.9,2908.06,34477.0,4.08,F,6.5,8.5
Memphis,Tennessee,38016.0,239900.0,3,2.0,,1772528.0,1549.0,783.84,17.05,4654.06,55177.0,4.08,F,6.5,8.5
Memphis,Tennessee,38128.0,289000.0,3,3.0,,1249796.0,1549.0,643.08,11.61,5606.6,66470.0,3.92,F,6.5,8.5
Memphis,Tennessee,38016.0,400000.0,4,3.0,,1753441.0,1549.0,324.88,4.24,7760.0,92000.0,3.61,F,6.5,8.5
Memphis,Tennessee,38117.0,350000.0,2,3.0,,1300085.0,1175.0,112.92,1.68,6790.0,80500.0,3.42,F,6.5,8.5
Memphis,Tennessee,38120.0,789000.0,4,7.0,,1514797.0,1549.0,-790.25,-5.23,15306.6,181470.0,2.7,F,6.5,8.5
Memphis,Tennessee,38111.0,527500.0,4,3.0,,1069150.0,1549.0,-40.62,-0.4,10233.5,121325.0,3.29,F,6.5,8.5
Memphis,Tennessee,38112.0,69000.0,3,1.0,,1220529.0,1549.0,1273.75,96.31,1338.6,15870.0,5.31,D,6.5,8.5
Memphis,Tennessee,38128.0,131000.0,3,2.0,,1262435.0,1549.0,1096.02,43.65,2541.4,30130.0,4.6,F,6.5,8.5
Memphis,Tennessee,38112.0,115000.0,3,2.0,,944270.0,1549.0,1141.88,51.81,2231.0,26450.0,4.72,F,6.5,8.5
Memphis,Tennessee,38128.0,131000.0,3,2.0,,1004648.0,1549.0,1096.02,43.65,2541.4,30130.0,4.6,F,6.5,8.5
Memphis,Tennessee,38108.0,92500.0,3,1.0,,452373.0,1549.0,1206.38,68.05,1794.5,21275.0,4.95,F,6.5,8.5
Memphis,Tennessee,38108.0,75000.0,2,1.0,,432008.0,1175.0,901.25,62.7,1455.0,17250.0,4.67,F,6.5,8.5
Memphis,Tennessee,38122.0,70000.0,4,2.0,,1041317.0,1549.0,1270.88,94.72,1358.0,16100.0,5.29,D,6.5,8.5
Memphis,Tennessee,38108.0,89900.0,3,1.0,,420437.0,1549.0,1213.84,70.45,1744.06,20677.0,4.98,F,6.5,8.5
Memphis,Tennessee,38108.0,35000.0,3,1.0,,444652.0,1549.0,1371.22,204.4,679.0,8050.0,6.57,C,6.5,8.5
Memphis,Tennessee,38122.0,139900.0,3,1.0,,1231273.0,1549.0,1070.5,39.92,2714.06,32177.0,4.54,F,6.5,8.5
Memphis,Tennessee,38111.0,485000.0,4,4.0,,847185.0,1549.0,81.22,0.87,9409.0,111550.0,3.39,F,6.5,8.5
Memphis,Tennessee,38128.0,150000.0,3,2.0,,907523.0,1549.0,1041.55,36.23,2910.0,34500.0,4.48,F,6.5,8.5
Memphis,Tennessee,38111.0,144900.0,2,1.0,,1179601.0,1175.0,700.87,25.24,2811.06,33327.0,4.11,F,6.5,8.5
Memphis,Tennessee,38111.0,399000.0,4,2.0,,1062861.0,1549.0,327.75,4.29,7740.6,91770.0,3.61,F,6.5,8.5
Memphis,Tennessee,38134.0,185000.0,3,2.0,,862162.0,1549.0,941.22,26.54,3589.0,42550.0,4.3,F,6.5,8.5
Memphis,Tennessee,38122.0,264900.0,3,1.0,,1206804.0,1549.0,712.17,14.03,5139.06,60927.0,3.99,F,6.5,8.5
Memphis,Tennessee,38111.0,144900.0,2,1.0,,105153.0,1175.0,700.87,25.24,2811.06,33327.0,4.11,F,6.5,8.5
Memphis,Tennessee,38122.0,257500.0,3,2.0,,1153589.0,1549.0,733.38,14.86,4995.5,59225.0,4.02,F,6.5,8.5
Memphis,Tennessee,38122.0,195400.0,3,2.0,,252430.0,1549.0,911.4,24.34,3790.76,44942.0,4.25,F,6.5,8.5
Memphis,Tennessee,38120.0,650000.0,3,4.0,,1527458.0,1549.0,-391.78,-3.14,12610.0,149500.0,3.01,F,6.5,8.5
Memphis,Tennessee,38119.0,677000.0,4,4.0,,1518382.0,1549.0,-469.18,-3.62,13133.8,155710.0,2.95,F,6.5,8.5
Memphis,Tennessee,38134.0,199900.0,3,2.0,,1352227.0,1549.0,898.5,23.45,3878.06,45977.0,4.23,F,6.5,8.5
Memphis,Tennessee,38122.0,275000.0,3,1.0,,1066593.0,1549.0,683.22,12.96,5335.0,63250.0,3.96,F,6.5,8.5
Memphis,Tennessee,38016.0,259900.0,3,2.0,,721654.0,1549.0,726.5,14.58,5042.06,59777.0,4.01,F,6.5,8.5
Memphis,Tennessee,38111.0,527500.0,4,3.0,,1054492.0,1549.0,-40.62,-0.4,10233.5,121325.0,3.29,F,6.5,8.5
Memphis,Tennessee,38134.0,120000.0,3,2.0,,1496601.0,1549.0,1127.55,49.02,2328.0,27600.0,4.68,F,6.5,8.5
Memphis,Tennessee,38122.0,95000.0,3,2.0,,1027736.0,1549.0,1199.22,65.86,1843.0,21850.0,4.92,F,6.5,8.5
Memphis,Tennessee,38112.0,84700.0,2,1.0,,951736.0,1175.0,873.44,53.8,1643.18,19481.0,4.55,F,6.5,8.5
